source_url,target_url,similarity,reason
https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_custom_evaluator,https://www.getmaxim.ai/docs/library/evaluators/custom-evaluators,0.6228,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_custom_evaluator,https://www.getmaxim.ai/docs/library/concepts,0.6218,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_test_run_local_dataset,https://www.getmaxim.ai/docs/offline-evals/via-sdk/prompts/quickstart,0.6562,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_test_run_local_dataset,https://www.getmaxim.ai/docs/offline-evals/via-sdk/agent-http/local-endpoint,0.5689,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_test_run_local_dataset,https://www.getmaxim.ai/docs/offline-evals/via-sdk/agent-http/quickstart,0.5685,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/custom-logs-dashboard,https://getmaxim.ai/docs/dashboards/custom-logs-dashboard,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/custom-logs-dashboard,https://getmaxim.ai/docs/tracing/dashboard,0.6922,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/custom-logs-dashboard,https://getmaxim.ai/docs/dashboards/live-trends-dashboard,0.6493,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/live-trends-dashboard,https://getmaxim.ai/docs/dashboards/live-trends-dashboard,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/live-trends-dashboard,https://getmaxim.ai/docs/dashboards/test-runs-comparison-dashboard,0.7034,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/live-trends-dashboard,https://getmaxim.ai/docs/dashboards/custom-logs-dashboard,0.6493,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/test-runs-comparison-dashboard,https://getmaxim.ai/docs/dashboards/test-runs-comparison-dashboard,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/test-runs-comparison-dashboard,https://getmaxim.ai/docs/dashboards/live-trends-dashboard,0.7034,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/dashboards/test-runs-comparison-dashboard,https://www.getmaxim.ai/docs/offline-evals/via-ui/prompts/prompt-evals,0.5746,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/create-dataset-columns,https://www.getmaxim.ai/docs/datasets/dataset/create-dataset,0.9896,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/create-dataset-columns,https://www.getmaxim.ai/docs/datasets/dataset-split/create-dataset-split,0.9369,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/create-dataset-columns,https://www.getmaxim.ai/docs/logging/sdk-logging/push-logs,0.8563,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/delete-dataset-columns,https://www.getmaxim.ai/docs/datasets/dataset/create-dataset,0.9341,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/datasets/dataset-column/delete-dataset-columns,https://www.getmaxim.ai/docs/datasets/dataset-split/create-dataset-split,0.926,High semantic similarity; add contextual link
