source,target,weight,anchors
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/introduction/running-your-first-eval,20,1. Set Up Your Environment | 2. Create Your First Prompt or HTTP Endpoint | 3. Prepare Your Dataset | 5. Add Evaluators | 6. Run Your First Test | 7. Analyze Test Results | HTTP Endpoint | Next Steps | Prompt | Running Your First Eval | Skip to main content | ​
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://www.getmaxim.ai,2,Home | Maxim Docs home page
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://www.getmaxim.ai/careers,1,Careers
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://www.getmaxim.ai/blog,2,Blog
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://www.getmaxim.ai/pricing,1,Pricing
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://www.getmaxim.ai/login,2,Get started free
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/introduction/overview,3,Documentation | Platform Overview | Platform Overview Previous
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/sdk/overview,1,SDK
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/public-apis/overview,1,API Reference
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/self-hosting/overview,1,Self Hosting
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/cookbooks/integrations/agno,1,Cookbooks
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/release-notes/Aug 2025/flexi-evals,1,Changelog
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/offline-evals/overview,2,Offline Evaluation Overview | Offline Evaluation Overview Next
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/offline-evals/concepts,1,Offline Evaluation Concepts
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/online-evals/overview,1,Online Evaluation Overview
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/online-evals/set-up-alerts-and-notifications,1,Set Up Alerts and Notifications
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/tracing/overview,2,Observability | Tracing Overview
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/tracing/concepts,1,Tracing Concepts
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/tracing/quickstart,1,Tracing Quickstart
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/tracing/dashboard,1,Dashboard
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/tracing/exports,1,Exports
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/tracing/reporting,1,Reporting
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/library/overview,1,Library Overview
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/library/concepts,1,Library Concepts
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/library/context-sources,2,Context Sources | Context sources
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/library/prompt-tools,2,Prompt Tools | Prompt tools
https://getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/library/prompt-partials,1,Creating Prompt Partials
